Recall Number||Report Date||Product||Recalling Firm||Product Type||Recall Reason
F-1597-2019||20190731||Flowers Bratwurst Buns 12 CT UPC 7 22500 40792||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-2462-2017||20170719||HIPP Bio Combiotik 1, Canister,  900g (4/case), HIPP Bio  Combiotik 2, Canister, 900g (4/case), HIPP Bio Combiotik 3, Canister, 900g (4/case), HIPP Bio Combiotik 1, 600g (4bx/case), HIPP Bio Combiotik 2, 600g (4bx/case), HIPP Bio Combiotik 3, 600g (4/case), HIPP Bio Compiotik, Pre, 600g (4bx/case), HIPP Comfort Spezialnahrung, 500g (4bx/case)||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-0959-2019||20190227||TRADCHS CHEESE CHEDDAR SMOKEY PRCT¿  1/9 LBS||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2315-2017||20170614||Aunt Jemima(R) Whole Grain Mini Pancakes, 12-40 COUNT, NET WT 12 LBS, UPC 001960043558||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-0988-2019||20190227||Sea Wings CRAB MEAT CLAW PAST ASIA||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1044-2019||20190227||Yoplait YOGURT VANILLA VERY LIGHT||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0971-2019||20190227||Capra CHEESE GOAT W/ HNY 4 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2298-2017||20170614||AUNT JEMIMA(R) 12 BUTTERMILK PANCAKES, NET WT 14.8oz UPC 019600068204||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-0947-2019||20190227||Packer Arugula Baby Organic||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1599-2019||20190731||Dinner Rolls sold under the brand names of Laura Lynn UPC 86854 06669 0 & Wonder 12 CT UPC 72250 07421 6 24 CT UPC 72250 01169 3||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-2259-2016||20160921||1.  Roasted Not Salted Sunflower Kernel, 5 lbs (2.25 kgs) box, Manufactured by SunOpta, Crookston, MN;    2.  Roasted Not Salted Sunflower Kernels, 25 lbs (11.34 kgs) poly lined paper bag, Manufactured by SunOpta, Crookston, MN;   3. Roasted Not Salted SL-80 Sunflower Kernels, 45 lbs vacuum packed bag in box, Manufactured by SunOpta, Crookston, MN;    4.  Roasted Not Salted Sunflower Kernel, 50 lbs. bag, Product of USA, Manufactured by SunOpta, Crookston, MN;         EXPANDED 5/18/2016   Roasted Not Salted Sunflower Kernel, 2000 lbs. Poly Lined - Poly Woven Tote, Product of USA, Manufactured by SunOpta, Crookston, MN;||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016.
F-2265-2016||20160921||2nd EXPANSION 5/31/2016   Product shipped OUS only.   Light Salt Sunflower Kernel, 5 kg / 11 lb. box.   Product of USA, Manufactured by SunOpta, Crookston, MN||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-1000-2019||20190227||Harbor Seafood CRAB MEAT SUPER LUMP PAST ASIA||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1007-2019||20190227||Packer GRAPEFRUIT RUBY RED FRESH¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1010-2019||20190227||Packer KUMQUAT FRESH¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1435-2020||20200916||MBF-202 Carrageenan||Ingredients Solutions Inc.||Food||On August 28, 2020, the firm's customer discovered colored fibers up to 1/4 " in length after sifting a lot of finished carrageenan intended for use as an ingredient in a finished food product.  The fibers were identified by the recalling firm as 'tie tie' a fibrous rope used for seaweed production that was present in the seaweed ingredient used to manufacture carrageenan.  One August 28, 2020 the firm recalled the finished carrageenan.
F-0996-2019||20190227||Sea Wings CRAB MEAT PAST JMBO LUMP ASIA||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1394-2019||20190529||Life Rising Holder-W Holder Warmer capsules, 54 count bottle||Life Rising Corporation||Food||High lead levels in products
F-0993-2019||20190227||Quality Crab CRAB MEAT JMBO LUMP NC||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0066-2019||20181031||Callie's Charleston Biscuits COCKTAIL HAM BISCUITS; 24  NET WT. 35 OZ (980 g) Callie's Charleston Biscuits; 1895 Avenue F, Charleston, SC 18405 843 577.1198; CALLIESBISCUITS.COM||Callie's Charleston Biscuits||Food||The firm was notified by one of their vendors that the ham used in their product may be contaminated with Listeria monocytogenes
F-0984-2019||20190227||DEMILL CHEESE ROMANO GRTD TUB¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0572-2020||20200205||Ingredion ULTRA-TEX4 Food Starch in 50lb paper bags, product code 32166102CA||Ingredion Incorporated||Food||Foreign material.  Potential for fragments of stainless steel wire in the product.  Fragments are approximately 0.19mm in diameter with varying lengths of 1mm   20mm in length.
F-0681-2020||20200219||bliss anti-stress formula Dietary Supplement, 60 Tablets; Manufactured For and distributed by: Market America, Inc., 1302 Pleasant Ridge Road, Greensboro, NC 27409; UPC 8 48570 00470 3||Market America Inc||Food||Potentially undeclared Yohimbe 83 and complaints of adverse reactions: upset stomach, jittery, sweaty, lightheaded or dizzy.
F-2307-2017||20170614||AUNT JEMIMA(R) MiNi pancakes, MAPLE BLAST, NET WT 3.2 OZ, UPC 001960043563||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-0989-2019||20190227||Majestic Blue CRAB MEAT CLAW PAST MEX||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1602-2019||20190731||NATURE'S OWN BUTTER HAMBURGER BUNS 8CT, UPC 72250 02313 9||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-0085-2020||20191106||fresh AND LOCAL CHICKEN SALAD on Croissant; Manufactured for Coremark; NET WT 6 OZ; UPC 0 67068 13105 3||Grand Strand Sandwich Company,Inc.||Food||The firm was notified by their supplier of possible contamination of Listeria monocytogenes in the product.
F-0994-2019||20190227||Chicken of the Sea CRAB MEAT JMBO LUMP PSTRZD||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1429-2020||20200916||Back to Nature, Organic Rosemary and Olive Oil Stoneground Wheat Cracker, 6 oz. foil bag inside paper carton, 6 packages per case .||B&G Foods North America, Inc||Food||The product contains undeclared milk.
F-0946-2019||20190227||Packer Apple Red Slice & Grape Buddie||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1042-2019||20190227||Dannon YOGURT VANILLA||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0998-2019||20190227||Sea Wings CRAB MEAT SPECIAL PAST ASIA||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1033-2019||20190227||Dannon	YOGURT PLAIN LOW FAT||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0980-2019||20190227||DEMILL CHEESE PARMESAN GRATE IMP¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2296-2017||20170614||AUNT JEMIMA(R) 12 OATMEAL PANCAKES, NET WT 14.8oz UPC 019600064909||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-1603-2019||20190731||WONDER HONEY HAMBURGER BUNS 8CT, UPC 72250 02112 8||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-1004-2019||20190227||Wholesome Farms Classic CREAMER COFFEE WHITENR CUP ESL||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2293-2017||20170614||AUNT JEMIMA(R) LIL' GRiDDLES(TM) MINI pancakes, 40 COUNT, NET WT 14.5oz UPC 019600054801||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-2267-2016||20160921||2nd EXPANSION 5/31/2016  Roasted No Salt Sweet Onion & White Cheddar Sunflower Kernel, 45 lb. box.   Product of USA, Manufactured by SunOpta, Crookston, MN||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
F-1040-2019||20190227||Dannon YOGURT STWBRY DANIMAL CRSH||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0978-2019||20190227||DEMILL CHEESE MONTEREY JACK¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1032-2019||20190227||Yoplait YOGURT PEACH ORIGINAL||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0972-2019||20190227||Belgioioso CHEESE GORGONZOLA WHEEL HALF 8#||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1031-2019||20190227||Yoplait YOGURT BLUEBERRY LIGHT||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0761-2020||20200311||Blendtopia Superfood Smoothie Kit Immunity flavor, 7 oz flexible pouch||Blendtopia Products, LLC||Food||Potential contamination of Listeria monocytogenes.
F-1008-2019||20190227||PACKER GREEN MICRO SWISS CHARD MIX¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1034-2019||20190227||Yoplait YOGURT RASPBERRY RNBOW TRIX||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1020-2019||20190227||Sysco Classic SALAD MACARONI CLASSIC||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
||20210120||First Street Goody Goody Trail Mix 10 oz. (283g)S&F Item#52892 Unit UPC# 797565204201;   First Street Goody Goody Trail Mix 16 oz. (454g) S&F Item#52651  Unit UPC# 797565204225;   Western Mixers Goody Goody Trail Mix 10 oz. (283g)  Unit UPC# 797565210363    Packed in clear plastic clamshells.  Product of USA||Western Mixers Produce & Nuts, Inc.||Food||Undeclared allergen; tree nuts (cashews).
F-1012-2019||20190227||Simply Lemonade LEMONADE FRESH PLS BTL||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1014-2019||20190227||PACKER	POMEGRANATE FRESH¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1596-2019||20190731||BBQ Bread & Pull-A-Part BBQ Bread sold under the brand names of Flowers UPC 7 22500 40792, Ingles UPC 8 68540 15348 & Wonder UPC 7 22500 20923||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-2467-2017||20170719||HOLLE Bio Zulgelingen Opvolgmelk 2, (3/case), HOLLE Bio Lait de suite, 2, 400g (6/case), HOLLE Bio Lait pour Nourrissons Zulgelingenmelk, 400g (6/case),  HOLLE Lait Pour Nourrissons 1er Age Bio, 400g (6/case). HOLLE Bio Lait de Suit Au Lait De Chevre, 400g (6/case) , HOLLE Bio-Kinermilch 4||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-2294-2017||20170614||AUNT JEMIMA(R) BUTTERMILK 12 LOW FAT PANCAKES, NET WT14.5oz UPC 019600061007||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-0952-2019||20190227||Block and Barrel Classic	CHEESE AMERICAN LOAF YEL||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2081-2016||20160914||Lysander's All Natural Bourbon Flavor Rub; for beef, chicken, pork, and fish; 3.8 oz (107.7 g), foil bag, 6 units per case.  Manufactured by Geneva Foods, LLC.||Geneva Foods, LLC||Food||Product contains undeclared allergens soy and wheat. Also does not declare sulfites.
F-1363-2020||20200902||ORGANIC VALLEY EGG BITES feta & chives NET WT 4 OZ (114g) UPC# 0 93966 81195 7 Distributed by Organic Valley, La Farge, WI 54639||Almark Foods||Food||The firm was notified by their customer that the product is missing the back panel containing the ingredient, nutrition and allergen statements. Product contains eggs and milk.
F-2464-2017||20170719||HIPP Organic Comb Hungry Infant Milk, 800g (4bx/case), HIPP Organic Comb First Infant Milk, 800g (4bx/case), HIPP Organic Combiotic Follow on Milk 2, 800g (4bx/case), HIPP Organic Good Night Milk from 6 Months, 350g (12cans/case)||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-1001-2019||20190227||Majestic Blue CRAB MEAT SUPER LUMP PAST MEX||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0974-2019||20190227||ROTHKAS CHEESE GRUYERE GRAND CRU SOS¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2079-2016||20160914||Lysander's Premium Teriyaki Marinade, 1 oz (28 g), polypropylene and clamshell style card, 12 units per case.  Manufactured by Geneva Foods, LLC.||Geneva Foods, LLC||Food||Product contains undeclared allergens soy and wheat. Also does not declare sulfites.
F-1395-2019||20190529||Life Rising NECK-ND Neck Clear capsules, 54 count bottle||Life Rising Corporation||Food||High lead levels in products
F-1017-2019||20190227||TAYFRMS SALAD FRESH CHPD WORLD FAMOUS¿||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
||20210324||Amazon Kitchen, Avocado Chicken Salad Sandwich, Net Wt. 8.1 oz., Cello wrap with cardboard liner,  1 unit per package,  Perishable Keep Refrigerated||Flying Food Group LLC||Food||Flying Food Group, LLC , initiated a recall of Amazon Kitchen Avocado Chicken Salad Sandwich .    The soy allergen is undeclared on the finish product label. The label does have the following statement "Prepared on shared equipment with other foods that contain eggs, fish, milk, peanut, shellfish, soy, tree nuts and wheat".
F-2301-2017||20170614||AUNT JEMIMA(R) CINNAMON FRENCH TOAST, 6 COUNT, NET WT 12.5oz, UPC 019600058908||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-0999-2019||20190227||Pacific Cove CRAB MEAT SPECIAL PAST IND||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0954-2019||20190227||Great Lakes CHEESE CHDR MILD SLI .75 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2469-2017||20170719||Topfer Lactana Bio 1 Anfangsmilch, 600g (3/case), Topfer Lactana Bio 2, Bio Folgemilch, 600g (3bx/case)||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-1017-2020||20200715||Fresh Express Chopped Kit SOUTHWEST TOTAL NET WT. 11.5 oz (326g) plastic bag. FRESH EXPRESS INCORPORATED P.O. BOX 80599, SALINAS, CA 93912  UPC 0 71279 30602 5||Fresh Express Incorpated||Food||The firm learned that, during a single production run, incorrect condiment packets were placed into Southwest Chopped Kit bags and, as a result, the allergens wheat, soy, cashews, and coconut are not properly declared.
F-0983-2019||20190227||Great Lakes CHEESE PROVOLONE SLI .5 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2468-2017||20170719||Lebenswert Bioland Anfangsmilch1, 500g (4/case), Lebenswert Bioland Folgemilch 2, 500g (4/case), Lebenswert Bioland Folgemilch 3, 475g (5/case)||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-1141-2018||20180418||GFS Belgian Mini Chocolate Topped Eclairs, Keep Frozen,  Net Wt . 700 g.;     Signature Select Belgian Style Mini Eclairs, Keep Frozen, 420 g;   Delizza Patisserie Belgian Custard Cream Mini Eclairs, 420 g.||Poppies International INC||Food||Products may be contaminated with Listeria monocytogenes
F-1022-2019||20190227||Sysco Classic SALAD POTATO DICED W/EGG||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2268-2016||20160921||2nd EXPANSION 5/31/2016  Product shipped OUS only.  Spitz Dill Pickle Sunflower Kernel, 100g plastic bag, UPC 69579-21001.   Product of USA,||SunOpta Food and Grain, Inc.||Food||SunOpta is recalling sunflower kernel products that have the potential to be contaminated with Listeria monocytogenes.      EXPANDED 5/18/2016    SunOpta expanded their recall of roasted sunflower kernel products to include the production dates of February 20 - April 26, 2016 due to potential Listeria monocytogenes contamination.      2nd EXPANSION 5/31/2016  SunOpta expanded their recall to include product produced at their Crookston, MN facility, still within expiry, to include the production dates of May 31, 2015 thru January 31, 2016
